-0.174,0.177,0.778,70.129,-35.583,-27.282
0.079,0.064,1.057,-46.508,34.545,27.282
-0.173,0.135,1.009,6.591,16.54,17.15
-0.179,0.14,0.994,25.695,12.451,3.723
-0.105,0.089,1.043,21.301,2.441,5.676
-0.126,0.11,0.97,8.728,0.366,4.15
-0.133,0.169,0.968,-15.502,5.554,-1.708
-0.125,0.056,1.103,-7.263,-0.488,5.249
-0.143,0.011,1.072,-4.76,-7.08,21.911
-0.061,-0.026,1.106,-65.002,2.319,24.719
-0.124,-0.125,1.056,-61.34,-28.686,20.935
-0.221,-0.056,0.979,-47.729,-45.41,-18.554
-0.137,-0.082,0.996,-58.593,10.375,-43.334
-0.143,-0.113,0.888,-58.227,3.54,-66.467
-0.119,-0.145,1.038,19.47,-9.155,-62.011
-0.001,-0.17,0.935,-61.828,16.479,-36.499
0.065,-0.298,0.975,16.296,28.564,5.493
-0.057,-0.346,0.59,-26.611,19.165,11.718
-0.442,-0.014,1.334,23.925,55.297,11.169
0.051,-0.203,0.897,53.833,-9.216,-11.596
-0.293,0.195,0.995,-16.723,5.676,-1.098
-0.314,0.177,0.999,9.704,-6.042,-7.385
-0.271,0.145,1.005,-6.347,4.15,1.586
-0.319,0.194,0.96,16.967,1.708,-0.549
-0.295,0.199,0.851,0.732,-1.647,-0.976
-0.274,0.211,1.016,5.554,12.817,-5.004
-0.277,0.38,0.889,-7.202,32.043,-6.958
-0.289,0.151,0.915,42.785,-20.69,-8.361
-0.404,0.154,0.83,-15.808,-24.719,-21.911
-0.453,0.081,0.938,119.689,-54.016,4.699
-0.367,0.345,0.854,-16.662,-18.981,-1.342
-0.078,0.204,0.934,-6.958,-1.77,4.211
-0.24,0.192,0.937,4.943,-9.338,3.173
-0.221,0.209,0.961,5.859,-14.16,6.042
-0.162,-0.046,1.327,-37.658,122.741,32.653
-0.297,0.11,0.875,-148.864,47.546,68.115
-0.546,0.03,0.881,-30.578,-105.468,42.541
0.087,0.322,1.427,-144.836,-43.884,26.123
-0.139,0.177,0.744,13.183,-50.598,-55.786
0.02,-0.097,0.754,27.832,-27.77,4.882
-0.207,0.45,0.89,-24.169,67.932,61.523
-0.323,0.312,0.926,26.367,-6.347,41.381
-0.202,0.265,0.994,-19.47,13.0,61.035
-0.288,0.385,0.997,-33.569,30.822,18.005
-0.172,0.268,1.011,-29.846,19.287,23.559
-0.245,0.419,0.61,-17.272,-25.878,0.854
-0.229,0.427,1.007,-21.118,-5.554,-2.075
-0.044,-0.166,1.465,-57.678,-29.052,38.696
-0.178,0.171,0.682,-123.046,-18.005,16.723
-0.123,0.214,1.281,-36.437,-9.155,-8.911
0.079,-0.07,1.145,16.479,7.385,-2.746
-0.064,0.04,0.558,-7.812,-70.8,-21.484
-0.039,0.08,0.995,-39.123,0.183,-5.798
-0.08,0.237,1.305,-29.907,12.634,-4.821
0.041,0.053,1.036,-16.174,5.187,-1.892
0.131,-0.089,0.766,-7.263,-25.939,23.437
0.006,-0.017,0.941,-4.394,-8.911,17.395
0.181,0.003,1.065,8.422,4.089,11.901
0.019,-0.053,1.026,-11.535,-2.624,10.803
0.019,-0.113,1.069,19.958,-6.347,7.751
