Grid,Label,RSSI_0_0,RSSI_0_8,RSSI_8_0,RSSI_8_8,RSSI_16_0,RSSI_16_8
11_1,in,-96.0,,-52.0,-86.0,-77.0,-84.0
11_1,in,,,-54.0,-88.0,-75.0,-84.0
11_1,in,,,-54.0,-83.0,-78.0,-87.0
11_1,in,,,,-84.0,-77.0,-87.0
11_1,in,,,-52.0,-82.0,-80.0,-83.0
11_1,in,,,-50.0,-86.0,-71.0,-86.0
11_1,in,,,,-83.0,-71.0,-87.0
11_1,in,,,,-90.0,-71.0,-83.0
11_1,in,,,-60.0,-83.0,-73.0,-85.0
11_1,in,,,,,-71.0,-86.0
11_1,in,,,-50.0,,-72.0,-84.0
11_1,in,-98.0,,-52.0,,-74.0,-87.0
11_1,in,,,-60.0,-84.0,-73.0,-86.0
11_1,in,-97.0,,-52.0,-82.0,-71.0,-84.0
11_1,in,,,-60.0,-83.0,-72.0,-83.0
11_1,in,-96.0,,,-83.0,-73.0,
11_1,in,,,-60.0,-83.0,-72.0,
11_1,in,,,,-84.0,-71.0,-85.0
11_1,in,-95.0,,,-82.0,-71.0,
11_1,in,-96.0,,-60.0,-88.0,,-83.0
11_1,in,,,-52.0,,-73.0,
11_1,in,,,,-84.0,,
11_1,in,,,-50.0,-86.0,-73.0,-86.0
11_1,in,-97.0,,,-83.0,-71.0,-87.0
11_1,in,,,-60.0,-86.0,,-85.0
11_1,in,,,-52.0,,,
11_1,in,-99.0,,-52.0,-81.0,-75.0,
11_1,in,-97.0,,,-85.0,-73.0,-86.0
11_1,in,,,,,-73.0,-86.0
11_1,in,,,-60.0,-82.0,-78.0,
11_1,in,-94.0,,,,-71.0,
11_1,in,,,,-83.0,-71.0,-86.0
11_1,in,,,-52.0,-82.0,,-84.0
11_1,in,-95.0,,-60.0,-82.0,,
11_1,in,,,,,,-86.0
11_1,in,,,-60.0,-91.0,-72.0,
11_1,in,,,,-82.0,-73.0,
11_1,in,,,-54.0,-82.0,-74.0,-83.0
11_1,in,,-94.0,,,-77.0,-85.0
11_1,in,,,,,-78.0,
11_1,in,,,-50.0,-83.0,-71.0,-86.0
11_1,in,,,,-82.0,,-83.0
11_1,in,,,-60.0,-84.0,,-83.0
11_1,in,,,,-90.0,-72.0,-86.0
11_1,in,,,-50.0,-85.0,-73.0,
11_1,in,-99.0,,,,,
11_1,in,,,-60.0,-83.0,-75.0,
11_1,in,,,-52.0,-81.0,-73.0,-88.0
11_1,in,,,-60.0,-83.0,,-83.0
11_1,in,,,-52.0,-83.0,-70.0,
11_1,in,,,-52.0,-87.0,-72.0,-86.0
11_1,in,,,,-84.0,-71.0,-82.0
11_1,in,,-94.0,,-90.0,-71.0,-87.0
11_1,in,,,-60.0,-83.0,-71.0,-85.0
11_1,in,,,-50.0,-83.0,-78.0,-83.0
11_1,in,,,-52.0,-83.0,-74.0,-84.0
11_1,in,-96.0,,-60.0,-90.0,-78.0,-86.0
11_1,in,-94.0,,-60.0,-90.0,-75.0,-86.0
11_1,in,,,-50.0,-94.0,-78.0,-83.0
11_1,in,,,-52.0,-88.0,-77.0,-83.0
11_1,in,,,-52.0,-88.0,-78.0,-87.0
11_1,in,-95.0,,,,-73.0,-83.0
11_1,in,,,-52.0,-91.0,-77.0,-86.0
11_1,in,,,-50.0,,-77.0,
11_1,in,,,-50.0,,-78.0,
11_1,in,-97.0,,-60.0,-86.0,-72.0,-86.0
11_1,in,,,,,-78.0,
11_1,in,,,-52.0,-85.0,,
11_1,in,-96.0,,-60.0,-87.0,,-85.0
11_1,in,,,-52.0,-83.0,,-84.0
11_1,in,,,-50.0,-86.0,-72.0,
11_1,in,,,,-87.0,,-85.0
11_1,in,,,-50.0,,-72.0,-82.0
11_1,in,,,-52.0,,-72.0,-86.0
11_1,in,,,,-87.0,-72.0,
11_1,in,,,-50.0,,-75.0,-85.0
11_1,in,,,-60.0,-85.0,,
11_1,in,,,,-84.0,-78.0,
11_1,in,,,-60.0,-84.0,-78.0,-83.0
11_1,in,,,-40.0,-87.0,-78.0,
11_1,in,,,,-84.0,-78.0,
11_1,in,,,-52.0,-84.0,-71.0,-86.0
11_1,in,,,-58.0,-85.0,-78.0,-86.0
11_1,in,,,-54.0,,-78.0,-86.0
11_1,in,-97.0,,-52.0,,,-83.0
11_1,in,-96.0,,-52.0,-85.0,-74.0,-85.0
11_1,in,,,,,,-86.0
11_1,in,,,-52.0,-83.0,-71.0,-83.0
11_1,in,,,-60.0,-82.0,,-85.0
11_1,in,,,-50.0,-82.0,,
11_1,in,,,,-81.0,-73.0,-86.0
11_1,in,,,-52.0,,-71.0,-85.0
11_1,in,-93.0,,-50.0,,-71.0,
11_1,in,,,,-83.0,-71.0,-85.0
11_1,in,-94.0,,,-82.0,,-86.0
11_1,in,-93.0,,-58.0,-89.0,-75.0,-85.0
11_1,in,,,-52.0,,-75.0,-85.0
11_1,in,,,-50.0,-83.0,-72.0,
11_1,in,,,-50.0,-83.0,-77.0,-83.0
11_1,in,,,-50.0,-83.0,-71.0,-86.0
11_3,in,-96.0,,,-81.0,-73.0,-90.0
11_3,in,,,,,-81.0,-88.0
11_3,in,,,-66.0,-79.0,-76.0,
11_3,in,,,-56.0,-84.0,-75.0,
11_3,in,,,-56.0,-79.0,-74.0,-82.0
11_3,in,-97.0,,-66.0,-84.0,-72.0,-85.0
11_3,in,,,-68.0,-84.0,-74.0,-88.0
11_3,in,,,,-79.0,-74.0,
11_3,in,,,-56.0,-79.0,-76.0,
11_3,in,,,,-79.0,,-82.0
11_3,in,,,-54.0,-78.0,,-83.0
11_3,in,-96.0,,,-79.0,,
11_3,in,,,-58.0,-78.0,,-87.0
11_3,in,-95.0,,-56.0,-79.0,-78.0,-86.0
11_3,in,,,-56.0,-78.0,-75.0,-86.0
11_3,in,,,,,-75.0,
11_3,in,,,-68.0,-77.0,-73.0,
11_3,in,,,-68.0,-78.0,,-86.0
11_3,in,,,-62.0,-84.0,,-82.0
11_3,in,,,-56.0,-78.0,-72.0,
11_3,in,,,-60.0,-79.0,,
11_3,in,,,,-77.0,-73.0,
11_3,in,,,-62.0,,-72.0,-87.0
11_3,in,,,-70.0,-83.0,-76.0,
11_3,in,,,,-78.0,,
11_3,in,,,-62.0,,,-88.0
11_3,in,,,-72.0,-79.0,,-85.0
11_3,in,,,-60.0,-79.0,,
11_3,in,,,-70.0,-83.0,,-84.0
11_3,in,,,-56.0,-78.0,-73.0,
11_3,in,,,-72.0,,-74.0,-85.0
11_3,in,,,,,-81.0,-87.0
11_3,in,,,,-79.0,-73.0,
11_3,in,,,-62.0,-79.0,-74.0,
11_3,in,,,-72.0,-78.0,,-87.0
11_3,in,,,-58.0,,-72.0,-88.0
11_3,in,,,-62.0,-80.0,-79.0,
11_3,in,,,-62.0,,-75.0,
11_3,in,,,,-78.0,-81.0,-88.0
11_3,in,,,-56.0,-79.0,-81.0,-88.0
11_3,in,,,-70.0,-77.0,-74.0,-88.0
11_3,in,,,-60.0,-77.0,-73.0,-86.0
11_3,in,,,-56.0,-78.0,,
11_3,in,,,,-80.0,-78.0,-86.0
11_3,in,-94.0,,,-84.0,,
11_3,in,-93.0,,-68.0,-79.0,-73.0,-86.0
11_3,in,,,-60.0,-77.0,,
11_3,in,,,,-78.0,-74.0,127.0
11_3,in,,,-60.0,-83.0,,-83.0
11_3,in,,,,-79.0,,-83.0
11_3,in,,,-56.0,-77.0,-77.0,-90.0
11_3,in,,,,-79.0,-75.0,-85.0
11_3,in,,,-56.0,-79.0,-83.0,-88.0
11_3,in,,,,-84.0,-81.0,-86.0
11_3,in,,,-56.0,-79.0,-74.0,-85.0
11_3,in,,,,-79.0,-73.0,-83.0
11_3,in,,,-60.0,-78.0,-76.0,-82.0
11_3,in,,,-60.0,-78.0,-81.0,-86.0
11_3,in,,,-60.0,-79.0,-81.0,-83.0
11_3,in,,,,-78.0,-81.0,-86.0
11_3,in,,,,-78.0,-81.0,-84.0
11_3,in,,,,-79.0,-72.0,-85.0
11_3,in,,,-58.0,-78.0,-81.0,
11_3,in,-91.0,,-68.0,,-77.0,
11_3,in,,,,-78.0,-73.0,-86.0
11_3,in,,,-68.0,-77.0,,-86.0
11_3,in,,,-68.0,-84.0,,
11_3,in,,,-60.0,-83.0,-73.0,
11_3,in,,,-60.0,-78.0,,-89.0
11_3,in,,,-56.0,-77.0,-77.0,-88.0
11_3,in,,,-68.0,,-73.0,
11_3,in,,,-60.0,-83.0,-76.0,-87.0
11_3,in,,,,-80.0,-74.0,-87.0
11_3,in,,,-68.0,-78.0,-72.0,
11_3,in,-96.0,,-48.0,-83.0,,-87.0
11_3,in,,,,-84.0,-78.0,
11_3,in,,,-56.0,,-75.0,-86.0
11_3,in,-95.0,,,-83.0,-82.0,
11_3,in,,,-70.0,-78.0,-81.0,
11_3,in,,,-70.0,-78.0,-72.0,
11_3,in,,,-56.0,-78.0,-73.0,
11_3,in,,,-56.0,-77.0,,
11_3,in,,,-56.0,,,-86.0
11_3,in,,,-68.0,-78.0,-78.0,
11_3,in,,,-56.0,-76.0,-75.0,
11_3,in,,,-56.0,-83.0,-74.0,-86.0
11_3,in,,,-62.0,-79.0,-79.0,
11_3,in,,,-58.0,-79.0,-75.0,
11_3,in,,,-72.0,-83.0,-78.0,
11_3,in,,,,-82.0,-81.0,-86.0
11_3,in,,,,-77.0,-74.0,-83.0
11_3,in,,,,-81.0,,-86.0
11_3,in,,,,-79.0,,
11_3,in,,,-56.0,-80.0,-77.0,127.0
11_3,in,,,-60.0,-82.0,,
11_3,in,,,-68.0,-79.0,-77.0,-86.0
11_3,in,-100.0,,-56.0,-83.0,-76.0,-86.0
11_3,in,,,,-82.0,-76.0,-86.0
11_3,in,,,-68.0,,-75.0,-86.0
11_3,in,,,-56.0,-78.0,-72.0,-84.0
11_5,in,,,,-79.0,,
11_5,in,,,,-74.0,-80.0,-84.0
11_5,in,,,-56.0,,-80.0,
11_5,in,,,-62.0,-75.0,-80.0,-84.0
11_5,in,,,,-76.0,-84.0,-84.0
11_5,in,,-92.0,-64.0,-78.0,-77.0,-86.0
11_5,in,,,-56.0,-73.0,-77.0,
11_5,in,,,,-72.0,-79.0,
11_5,in,,,,-72.0,-84.0,
11_5,in,,,-58.0,-72.0,-80.0,-83.0
11_5,in,,,-58.0,,-76.0,
11_5,in,,,,-78.0,-78.0,
11_5,in,,-92.0,-58.0,,-77.0,
11_5,in,,-92.0,,-72.0,-77.0,-84.0
11_5,in,,,-56.0,,-85.0,-84.0
11_5,in,,,-56.0,,,-86.0
11_5,in,,,-60.0,-72.0,-81.0,
11_5,in,,-90.0,,,-81.0,-84.0
11_5,in,,,,-72.0,,-84.0
11_5,in,,,-56.0,-72.0,-81.0,
11_5,in,,,-64.0,-75.0,-84.0,-84.0
11_5,in,,,-62.0,-79.0,-85.0,
11_5,in,-100.0,,-64.0,-74.0,,
11_5,in,,,-56.0,-75.0,-79.0,-81.0
11_5,in,,,-64.0,,-84.0,-83.0
11_5,in,,-94.0,,-75.0,-79.0,
11_5,in,,,-60.0,-72.0,,-83.0
11_5,in,,,-56.0,-78.0,,
11_5,in,,,-60.0,,,-82.0
11_5,in,,-90.0,,-72.0,,
11_5,in,,-90.0,-60.0,-75.0,,
11_5,in,,-90.0,-64.0,-73.0,-82.0,-84.0
11_5,in,,,,-72.0,-82.0,-86.0
11_5,in,,,-56.0,-74.0,,-82.0
11_5,in,,,-60.0,,-81.0,-83.0
11_5,in,,-90.0,-58.0,-79.0,-78.0,-84.0
11_5,in,,,-60.0,-78.0,,
11_5,in,,,-56.0,,-81.0,
11_5,in,,-90.0,-56.0,-72.0,-80.0,
11_5,in,,-90.0,,-78.0,-80.0,-87.0
11_5,in,,,-64.0,,,-83.0
11_5,in,,,-60.0,-78.0,-77.0,-81.0
11_5,in,,,-58.0,,-79.0,-83.0
11_5,in,,,-62.0,-72.0,-77.0,
11_5,in,,-90.0,-64.0,-79.0,-78.0,
11_5,in,,,-64.0,,-78.0,-84.0
11_5,in,,,,-79.0,,-84.0
11_5,in,,,,-78.0,,
11_5,in,,,-56.0,-79.0,,-84.0
11_5,in,,,-64.0,-79.0,-77.0,
11_5,in,,,,-81.0,,-84.0
11_5,in,,-90.0,-56.0,-81.0,-77.0,-84.0
11_5,in,,-90.0,-56.0,-78.0,-83.0,-85.0
11_5,in,,,,-78.0,-85.0,-86.0
11_5,in,,,-62.0,-79.0,-84.0,-88.0
11_5,in,,,-62.0,-74.0,-84.0,-88.0
11_5,in,,,-64.0,-72.0,-84.0,-88.0
11_5,in,,,-64.0,-72.0,-84.0,-85.0
11_5,in,,,-58.0,-72.0,-79.0,-88.0
11_5,in,,,,-78.0,-78.0,-84.0
11_5,in,,,-60.0,-74.0,-80.0,-87.0
11_5,in,,,-64.0,-78.0,-77.0,-83.0
11_5,in,,-92.0,,-72.0,-79.0,-88.0
11_5,in,,-92.0,-56.0,-75.0,-84.0,-83.0
11_5,in,,,-64.0,-74.0,-79.0,-88.0
11_5,in,,,-60.0,-71.0,-77.0,-85.0
11_5,in,-100.0,,-60.0,-77.0,,-85.0
11_5,in,,-92.0,-60.0,-78.0,-77.0,
11_5,in,,,-64.0,-71.0,,
11_5,in,,-92.0,,-71.0,-82.0,-83.0
11_5,in,,,-58.0,-74.0,-82.0,
11_5,in,,,,,-80.0,
11_5,in,,,,-71.0,-78.0,-85.0
11_5,in,,,-56.0,,-80.0,-88.0
11_5,in,,,-58.0,-72.0,-84.0,-85.0
11_5,in,,-90.0,-64.0,,-84.0,
11_5,in,,,-58.0,-72.0,-84.0,-84.0
11_5,in,,,-56.0,-73.0,-84.0,-86.0
11_5,in,,-90.0,-60.0,-72.0,-78.0,-86.0
11_5,in,,-92.0,-62.0,-75.0,,-90.0
11_5,in,,,,-74.0,-78.0,
11_5,in,,-92.0,-56.0,,-84.0,-89.0
11_5,in,,,-62.0,-72.0,,-85.0
11_5,in,,,-60.0,-72.0,,-88.0
11_5,in,-97.0,,-64.0,,-79.0,-86.0
11_5,in,,,-60.0,-71.0,-82.0,-89.0
11_5,in,-97.0,,-58.0,-78.0,-81.0,-84.0
11_5,in,,,,-72.0,-79.0,
11_5,in,,,-60.0,-75.0,-80.0,
11_5,in,,,-64.0,-73.0,-81.0,-84.0
11_5,in,,-92.0,-64.0,,-82.0,-84.0
11_5,in,,,,-72.0,-84.0,-88.0
11_5,in,,,-56.0,-73.0,-78.0,-84.0
11_5,in,,,-64.0,,-81.0,
11_5,in,,,-64.0,-72.0,-79.0,
11_5,in,,,,-75.0,-77.0,
11_5,in,,-92.0,-56.0,,,-84.0
11_5,in,,,-64.0,-72.0,,-83.0
11_5,in,,-90.0,-56.0,-79.0,-81.0,
11_5,in,,-92.0,-66.0,-75.0,,
11_7,in,,,-60.0,-84.0,-77.0,-80.0
11_7,in,,-92.0,-70.0,-81.0,-80.0,-82.0
11_7,in,,,,-80.0,-80.0,-83.0
11_7,in,,,-64.0,-76.0,-85.0,-82.0
11_7,in,,-90.0,-62.0,-81.0,-80.0,-79.0
11_7,in,,,,-79.0,-80.0,
11_7,in,,,-70.0,-77.0,-80.0,-82.0
11_7,in,,,-64.0,-81.0,-81.0,-84.0
11_7,in,,-90.0,-62.0,-80.0,-81.0,-83.0
11_7,in,,-92.0,,-77.0,,
11_7,in,,,,-99.0,,-83.0
11_7,in,,,,-83.0,-77.0,-83.0
11_7,in,,,-70.0,-84.0,,
11_7,in,,,,,-79.0,-83.0
11_7,in,,,,-78.0,-77.0,-84.0
11_7,in,,,,,-76.0,
11_7,in,-98.0,,-64.0,,,-80.0
11_7,in,,,-68.0,-80.0,,
11_7,in,-96.0,-92.0,-62.0,-80.0,,
11_7,in,,,-70.0,,,-81.0
11_7,in,,-90.0,-62.0,-79.0,,-82.0
11_7,in,,,,-78.0,-82.0,
11_7,in,,,-62.0,-78.0,-85.0,-78.0
11_7,in,,,-68.0,-80.0,-78.0,-79.0
11_7,in,,,-60.0,-80.0,,
11_7,in,,-90.0,-64.0,-77.0,,
11_7,in,,,,-79.0,-84.0,-81.0
11_7,in,,,-64.0,-76.0,-83.0,-85.0
11_7,in,,,,-80.0,,-84.0
11_7,in,,,-70.0,-77.0,-79.0,
11_7,in,,,-64.0,-81.0,-84.0,
11_7,in,,,-62.0,-78.0,-78.0,127.0
11_7,in,,,-62.0,-80.0,-81.0,-83.0
11_7,in,,,-60.0,-79.0,-78.0,-82.0
11_7,in,,,-64.0,,,
11_7,in,-102.0,,-60.0,-81.0,-78.0,
11_7,in,,,-70.0,-78.0,-77.0,-85.0
11_7,in,,,-68.0,-76.0,,-89.0
11_7,in,,-90.0,,-76.0,,-88.0
11_7,in,,,,,,-84.0
11_7,in,,,,-77.0,,-79.0
11_7,in,,,-64.0,-78.0,,-83.0
11_7,in,,,-64.0,-79.0,-77.0,-79.0
11_7,in,,,-60.0,-77.0,-78.0,-85.0
11_7,in,,,-68.0,,-87.0,-84.0
11_7,in,,,,-79.0,-78.0,-79.0
11_7,in,,-90.0,,-77.0,-78.0,-85.0
11_7,in,,,-60.0,-77.0,-78.0,-80.0
11_7,in,,,,-80.0,-83.0,-79.0
11_7,in,,,-64.0,-76.0,-77.0,-83.0
11_7,in,,,-64.0,-84.0,-84.0,-83.0
11_7,in,,-92.0,-64.0,-77.0,-83.0,-78.0
11_7,in,,,,-81.0,-83.0,-83.0
11_7,in,,-90.0,,-80.0,-77.0,
11_7,in,,-88.0,-70.0,-79.0,-79.0,
11_7,in,,,-64.0,-77.0,-83.0,-86.0
11_7,in,,,,-77.0,-82.0,-85.0
11_7,in,,,,-77.0,-87.0,-85.0
11_7,in,,,-68.0,-79.0,-83.0,
11_7,in,,,-62.0,-79.0,-82.0,-88.0
11_7,in,-99.0,,-70.0,-80.0,-81.0,-87.0
11_7,in,,,-64.0,-79.0,-87.0,-79.0
11_7,in,,,-64.0,-80.0,-87.0,
11_7,in,,,-64.0,-78.0,-78.0,-84.0
11_7,in,,-88.0,-64.0,-74.0,-85.0,-86.0
11_7,in,,-92.0,-60.0,-76.0,,-83.0
11_7,in,,,,-79.0,,
11_7,in,,,-64.0,-80.0,,
11_7,in,,,-64.0,-77.0,,
11_7,in,,-90.0,-64.0,-76.0,-83.0,-79.0
11_7,in,,-96.0,-68.0,-76.0,-84.0,-82.0
11_7,in,,,-62.0,-73.0,,
11_7,in,,,-62.0,-75.0,-84.0,-82.0
11_7,in,,,-70.0,-73.0,,-82.0
11_7,in,,,,,,
11_7,in,,,,-78.0,,
11_7,in,,-92.0,-70.0,-79.0,-80.0,
11_7,in,,,,-78.0,,-83.0
11_7,in,,,-70.0,,-86.0,-81.0
11_7,in,,,,-79.0,-83.0,
11_7,in,,-90.0,-42.0,-76.0,-80.0,
11_7,in,,-96.0,-70.0,,-86.0,-80.0
11_7,in,,,-64.0,-75.0,-84.0,-80.0
11_7,in,,,,-74.0,,
11_7,in,,,-64.0,-78.0,-79.0,
11_7,in,,,-64.0,,-85.0,-86.0
11_7,in,,-90.0,-60.0,-76.0,-80.0,-83.0
11_7,in,,,-64.0,-76.0,-83.0,
11_7,in,,,-60.0,-76.0,-79.0,
11_7,in,,-90.0,-60.0,-78.0,-81.0,-80.0
11_7,in,,,-60.0,-76.0,,-80.0
11_7,in,,-96.0,-40.0,,,-79.0
11_7,in,,-90.0,,-74.0,-85.0,-84.0
11_7,in,,,-70.0,-75.0,,
11_7,in,,,,-79.0,-81.0,-84.0
11_7,in,,,-64.0,-75.0,-85.0,-79.0
11_7,in,,,,-75.0,-79.0,-79.0
11_7,in,,,-64.0,-77.0,-80.0,
11_7,in,,,-60.0,-76.0,-85.0,
11_7,in,,-96.0,,-75.0,-82.0,
13_1,in,,,-60.0,-86.0,-67.0,-84.0
13_1,in,,,-64.0,-82.0,-75.0,-88.0
13_1,in,,,-64.0,-81.0,-66.0,-86.0
13_1,in,,,-58.0,-81.0,-77.0,-86.0
13_1,in,,,,-83.0,-77.0,-83.0
13_1,in,,,-60.0,-81.0,,-82.0
13_1,in,,,,-89.0,-65.0,-82.0
13_1,in,,,-62.0,-81.0,-67.0,-86.0
13_1,in,,,,-83.0,-71.0,-86.0
13_1,in,,,-64.0,-89.0,-67.0,-82.0
13_1,in,,,,-89.0,-67.0,-85.0
13_1,in,,,-62.0,-81.0,-71.0,-86.0
13_1,in,,,-58.0,-81.0,-69.0,
13_1,in,,,-58.0,-84.0,-69.0,-87.0
13_1,in,,,,-83.0,-76.0,
13_1,in,,,,-82.0,,-88.0
13_1,in,,-96.0,-56.0,-83.0,,
13_1,in,,,,-83.0,,-88.0
13_1,in,,,-60.0,-81.0,-68.0,-87.0
13_1,in,,,-60.0,-81.0,-77.0,-87.0
13_1,in,,,,-80.0,-77.0,
13_1,in,,,-60.0,,-76.0,
13_1,in,,,,-82.0,,
13_1,in,,,-56.0,-81.0,,-86.0
13_1,in,,,,-86.0,-67.0,-86.0
13_1,in,,,,-84.0,-67.0,-82.0
13_1,in,,,-56.0,,-69.0,-82.0
13_1,in,,,-62.0,-90.0,-69.0,-87.0
13_1,in,,,-64.0,-83.0,-76.0,
13_1,in,,,-62.0,,,
13_1,in,,,-64.0,-83.0,,-88.0
13_1,in,,,-66.0,-83.0,-76.0,
13_1,in,,,-62.0,-84.0,-70.0,
13_1,in,,,-64.0,-82.0,-67.0,
13_1,in,,,-58.0,,-67.0,
13_1,in,,,-58.0,-82.0,-69.0,-88.0
13_1,in,,,,-82.0,,-84.0
13_1,in,,,-64.0,-88.0,-67.0,
13_1,in,,,-64.0,-82.0,-66.0,
13_1,in,,,-64.0,-83.0,,-82.0
13_1,in,,,-62.0,-90.0,-71.0,-87.0
13_1,in,,,,-81.0,-67.0,
13_1,in,,,-60.0,-81.0,-67.0,-88.0
13_1,in,,,-62.0,-82.0,-67.0,-87.0
13_1,in,,,-60.0,-88.0,-69.0,-82.0
13_1,in,,,-60.0,-83.0,-66.0,
13_1,in,,,-60.0,-83.0,-67.0,
13_1,in,,,-60.0,-86.0,,-87.0
13_1,in,,,-64.0,-88.0,-65.0,-83.0
13_1,in,,,-64.0,,-67.0,-86.0
13_1,in,,,-64.0,-87.0,-68.0,-88.0
13_1,in,,,-58.0,-87.0,-75.0,-86.0
13_1,in,,,-58.0,-84.0,-76.0,-87.0
13_1,in,,,-58.0,-87.0,-67.0,-83.0
13_1,in,,,,-83.0,-76.0,-83.0
13_1,in,,,-64.0,-83.0,-77.0,-81.0
13_1,in,,,-58.0,-84.0,-67.0,-86.0
13_1,in,,,-60.0,-89.0,-69.0,-87.0
13_1,in,,,,-81.0,-69.0,-88.0
13_1,in,,,,-82.0,-69.0,-83.0
13_1,in,,,,-82.0,-69.0,-88.0
13_1,in,,,-58.0,-82.0,-67.0,-86.0
13_1,in,,,,-85.0,-76.0,-83.0
13_1,in,,,-64.0,-79.0,-66.0,-83.0
13_1,in,,,-58.0,,,
13_1,in,,,-60.0,-85.0,-76.0,
13_1,in,,,-56.0,-89.0,-66.0,
13_1,in,,,-58.0,-81.0,,
13_1,in,,,-60.0,-81.0,-65.0,
13_1,in,,,-56.0,-81.0,-66.0,-88.0
13_1,in,,,-60.0,-85.0,,-83.0
13_1,in,,,-64.0,-81.0,-69.0,
13_1,in,,,-62.0,-81.0,-68.0,
13_1,in,,,-58.0,-82.0,-69.0,-88.0
13_1,in,,,-64.0,-83.0,-66.0,-89.0
13_1,in,,,,-82.0,-77.0,-82.0
13_1,in,,,-60.0,-83.0,-67.0,-88.0
13_1,in,,,-64.0,-83.0,-67.0,
13_1,in,,,-58.0,-88.0,-66.0,
13_1,in,,,,-83.0,,-82.0
13_1,in,,,-64.0,-81.0,-69.0,-88.0
13_1,in,,,-64.0,-83.0,-75.0,-87.0
13_1,in,,,-60.0,,-69.0,
13_1,in,,,,,-68.0,
13_1,in,,,-62.0,,-65.0,-88.0
13_1,in,,,-58.0,-83.0,-74.0,-88.0
13_1,in,,-96.0,-60.0,-82.0,,
13_1,in,,-96.0,-60.0,-82.0,,
13_1,in,,,-60.0,-82.0,,-86.0
13_1,in,,,-62.0,-85.0,-65.0,-87.0
13_1,in,,,-64.0,,-71.0,
13_1,in,,,-58.0,,-68.0,
13_1,in,,,-64.0,-83.0,-77.0,-88.0
13_1,in,,,-60.0,,-77.0,-88.0
13_1,in,,,-60.0,-80.0,-69.0,-83.0
13_1,in,,,-58.0,-85.0,-67.0,-84.0
13_1,in,,,-58.0,-83.0,-77.0,
13_1,in,,,-64.0,-83.0,,-90.0
13_1,in,,,-62.0,-87.0,,-89.0
13_1,in,,,-58.0,-80.0,-70.0,-90.0
13_3,in,,,-64.0,-81.0,-91.0,-82.0
13_3,in,,,-60.0,-81.0,-75.0,-83.0
13_3,in,,,-60.0,-84.0,-74.0,-79.0
13_3,in,,,,-79.0,-74.0,-82.0
13_3,in,,,-64.0,-80.0,-72.0,-82.0
13_3,in,,,-64.0,-80.0,-78.0,-83.0
13_3,in,,,,-84.0,-77.0,-83.0
13_3,in,,,-60.0,-79.0,-71.0,-79.0
13_3,in,,,,-83.0,-71.0,
13_3,in,,,-68.0,,-79.0,
13_3,in,,,,-84.0,-72.0,-82.0
13_3,in,,,,-92.0,-71.0,-83.0
13_3,in,,,-60.0,-79.0,-80.0,-83.0
13_3,in,,,-64.0,-79.0,-74.0,
13_3,in,,,,-79.0,-79.0,-84.0
13_3,in,-99.0,,-64.0,-84.0,-71.0,
13_3,in,,,-64.0,-84.0,-78.0,-83.0
13_3,in,,,-66.0,,,
13_3,in,,,,-79.0,-71.0,
13_3,in,,,,-77.0,,-82.0
13_3,in,,,,-84.0,,
13_3,in,,,-66.0,-83.0,-79.0,-83.0
13_3,in,,,,-78.0,,
13_3,in,,,,-78.0,-73.0,-82.0
13_3,in,-99.0,,-74.0,-78.0,-73.0,-82.0
13_3,in,,,,-77.0,-71.0,-81.0
13_3,in,,,-64.0,-78.0,-79.0,-83.0
13_3,in,,,,-83.0,-72.0,-83.0
13_3,in,,,,-77.0,-79.0,-84.0
13_3,in,,,,-78.0,-71.0,
13_3,in,,,-60.0,-83.0,-71.0,-82.0
13_3,in,,,-66.0,-78.0,,-82.0
13_3,in,,,-60.0,,,-84.0
13_3,in,,,-66.0,,,-82.0
13_3,in,,,,-77.0,-73.0,
13_3,in,,,-66.0,-78.0,-71.0,-81.0
13_3,in,,,-60.0,-78.0,,-79.0
13_3,in,,,-62.0,-82.0,-73.0,-83.0
13_3,in,,,-60.0,,,
13_3,in,,,,-77.0,-78.0,
13_3,in,,,,-79.0,-78.0,
13_3,in,,,-64.0,-77.0,,
13_3,in,,,,,,-82.0
13_3,in,,,-60.0,-78.0,,
13_3,in,,,,-79.0,-72.0,
13_3,in,,,,-79.0,-80.0,-78.0
13_3,in,,,-64.0,-83.0,,-84.0
13_3,in,,,-64.0,-84.0,-73.0,
13_3,in,,,,-78.0,-71.0,-83.0
13_3,in,,,-64.0,,-72.0,-82.0
13_3,in,,,,-77.0,-75.0,-86.0
13_3,in,,,,-79.0,-74.0,-83.0
13_3,in,,,-62.0,-79.0,-76.0,-79.0
13_3,in,,,,-78.0,-71.0,-79.0
13_3,in,,,,-79.0,-71.0,-82.0
13_3,in,,,,-78.0,-71.0,-82.0
13_3,in,,,-60.0,-79.0,-71.0,-79.0
13_3,in,,,-66.0,,-78.0,-84.0
13_3,in,,,-64.0,-79.0,-78.0,-79.0
13_3,in,,,-76.0,-79.0,-73.0,-81.0
13_3,in,,,-62.0,-84.0,-78.0,-82.0
13_3,in,,,,-82.0,,-83.0
13_3,in,,,-60.0,-84.0,-71.0,
13_3,in,,,-66.0,-78.0,-71.0,-83.0
13_3,in,,,,-78.0,-71.0,-82.0
13_3,in,,,-66.0,-78.0,,-79.0
13_3,in,,,,-77.0,,
13_3,in,,,-60.0,-78.0,,
