a_x,a_y,a_z,g_x,g_y,g_z,m_x,m_y,m_z,class_name
110,-273,811,-14404,6591,36254,-9843,22602,-50491,walking
-32,-267,831,-11779,8178,59265,-28070,40830,-60582,walking
-190,-97,1039,-5187,3845,43334,-18956,26612,-73279,walking
-194,-273,1268,732,9948,-9765,-16405,27341,-61704,walking
7,-346,755,-1342,-19042,48217,-16040,31716,-64688,walking
-110,-2,1229,-20080,10192,-20629,-19321,19321,-68053,walking
98,-108,860,-13366,7995,23254,-21872,22602,-61315,walking
-13,-83,969,-6896,-5493,-39245,-21873,24060,-58705,walking
-228,-45,932,7751,-17944,10437,-22237,25518,-63185,walking
144,-312,833,2380,-5615,16540,-15311,27705,-60575,walking
-134,-129,1070,122,1647,-5004,-21872,16039,-65420,walking
-88,-194,955,-23254,-1586,19409,-23695,17862,-62063,walking
-155,-279,959,-2685,9155,-12634,-24060,14946,-63566,walking
-213,-248,1226,-24963,3356,3601,-24060,17133,-64306,walking
127,289,1289,26367,44250,-214843,-12759,37183,-63185,walking
36,-380,794,-11535,29602,-94055,16768,26976,-66159,walking
47,-102,786,-10498,17395,-39733,22966,12759,-70288,walking
-256,-32,824,6408,13366,-8178,23331,15675,-68427,walking
-40,-147,941,6591,-10498,-21789,21143,3280,-75149,walking
-35,-291,1095,-2624,7324,-21545,20414,5832,-69158,walking
-262,-152,1185,-10925,-7141,12939,21143,6197,-71401,walking
-47,67,1054,854,48156,-133605,8020,-4374,-74027,walking
-7,-215,880,-4760,30334,-21484,-6197,-9478,-69923,walking
-150,-109,924,-9338,19653,-45043,-14581,-6561,-69906,walking
-190,-149,683,-6896,-1159,7019,-15310,-1822,-67655,walking
24,-149,878,-14038,4882,30700,-18956,-2916,-69150,walking
190,-258,947,-14465,-5310,-15075,-4009,-10571,-68037,walking
-231,-16,855,-9399,8605,39001,4374,-9842,-71019,walking
-15,-161,1064,12329,5126,-55480,-1093,-9113,-71375,walking
-54,-34,1089,6042,183,3601,-8749,-12394,-69158,walking
-14,-192,962,244,-7812,9338,-7655,-11300,-68768,walking
-260,-9,908,-14648,-17578,84594,9842,-9113,-68427,walking
-55,-46,1092,-9216,-8972,-6530,14581,-6561,-70263,walking
-16,-95,944,-3417,122,39123,14946,-3645,-69150,walking
73,32,858,2380,-2319,18127,16404,-729,-68776,walking
55,-102,830,-976,5981,-549,19686,0,-69557,walking
-11,10,839,-7812,4577,16723,18227,-3645,-68784,walking
14,-161,823,1220,9033,-27282,17133,-2551,-70271,walking
40,-69,1092,305,-10314,17395,16404,-2551,-69532,walking
-74,14,1112,11169,-17822,-21057,16769,-6561,-70297,walking
-179,-68,788,9643,8300,-13671,12394,-6926,-68784,walking
-136,-232,1022,-3173,26306,-16540,9113,-8748,-69150,walking
46,-284,1167,-13732,3051,76232,8749,-6197,-71775,walking
-158,-130,1191,4333,-5310,4333,20049,729,-69523,walking
60,-202,1334,-610,-34179,41015,23330,7290,-71757,walking
-111,65,952,1647,18798,-46020,19684,6926,-71001,walking
0,-221,933,-6530,-6591,28625,21143,9842,-69150,walking
-30,-184,795,4760,-8605,-37963,16768,4739,-71392,walking
-207,-262,851,1403,4821,-4760,22965,6561,-69507,walking
-41,-250,932,-10070,1037,4577,20049,3645,-72122,walking
-188,-177,1118,-4943,23376,-55786,29891,25517,-74365,walking
-204,-233,907,-37658,19348,-20446,28798,4374,-63543,walking
-35,-151,1446,30456,1892,-69885,729,26246,-72140,walking
-130,-210,1190,11779,-18615,9704,-10936,12758,-63535,walking
-60,-221,1010,13671,-7141,-22888,-18591,7290,-65404,walking
57,-291,1174,7080,-32592,54199,-19685,729,-69141,walking
153,-200,782,-4028,854,81176,-12029,-6926,-65778,walking
174,-121,1120,-13427,-41870,123535,19320,2551,-68751,walking
-192,-63,848,-27893,7995,-1098,22601,16404,-60919,walking
39,-129,918,6774,-4699,66894,16769,16040,-61689,walking
-38,-62,706,-29602,-7507,-1586,-12029,-2551,-47085,walking
-8,-120,839,-9643,-20446,88378,-21143,38641,-51582,walking
-169,-160,751,3417,-3906,24414,-26975,31714,-67638,walking
-156,-205,883,549,-18615,28198,-21142,29891,-64649,walking
-159,-246,980,-6408,6103,27954,-17862,31715,-63917,walking
-159,-239,1010,-3295,9826,-10009,-22601,24788,-60919,walking
21,-310,957,1708,-34667,41687,-20049,26246,-63543,walking
-194,-5,992,6958,14160,-31249,-24788,23694,-62780,walking
147,-192,1100,-5187,-12573,54626,-22600,22965,-62772,walking
115,-243,868,-36499,-6347,59753,-24787,13487,-63138,walking
-55,-235,726,-4089,-19775,92712,-14946,-2187,-71010,walking
118,-194,642,-31677,-28625,108703,-4738,-8384,-71740,walking
-97,-95,862,-13916,-15075,112304,25517,12394,-73626,walking
-17,-163,871,-11962,3784,48828,21143,27340,-68020,walking
-125,-311,976,-13427,25329,23803,10207,32443,-69889,walking
26,-46,1499,2197,-45227,110839,-4374,33172,-62780,walking
68,-118,966,-732,-2929,6408,-6926,29163,-64656,walking
10,-74,1136,5615,-854,23803,-9842,31350,-67646,walking
-49,-24,941,6042,12390,-75927,-2187,37182,-65404,walking
6,-40,891,8483,8178,-76843,8384,36817,-59402,walking
42,-268,1135,-8178,20935,-26611,21871,27339,-61270,walking
110,-322,936,976,4394,18737,14945,28797,-68361,walking
142,-96,1395,-6469,-31982,118286,4374,36817,-63154,walking
254,-42,1187,-19531,-36499,120422,-21871,29891,-61651,walking
28,-189,919,-2075,-16479,117126,-12758,-1093,-71749,walking
-76,-160,912,-3234,10375,-305,-6561,-6196,-67622,walking
19,-251,1076,-61,14099,-4943,-12394,-3645,-70993,walking
90,-341,1068,-15197,10925,69702,-11664,-5832,-71740,walking
-45,-160,1469,7751,-12329,36804,364,-7655,-68751,walking
191,-309,1013,-1403,-13427,53649,14216,-4738,-70984,walking
58,-64,946,-8789,-11230,-15136,10935,-4009,-72096,walking
-84,-189,857,8056,-9887,24414,17132,1458,-76205,walking
-64,-191,861,-12145,-183,18371,18955,3280,-70610,walking
-70,-241,886,-2441,4455,-8117,22965,7655,-67638,walking
-54,-301,1088,-15869,3295,19958,17497,3645,-71731,walking
-1,-161,1312,21301,-5737,-52001,18226,3280,-73226,walking
-81,-99,1086,-10437,-5493,25878,17132,1822,-78083,walking
31,-42,1151,20446,-5065,-32958,17132,10206,-81435,walking
-5,-243,838,305,-9399,70068,40826,28433,-78083,walking
15,-141,714,-35461,-31738,121582,41555,35358,-76943,walking
-19,-148,946,-15869,-42114,132934,-37910,39733,-81809,walking
-195,-258,977,7446,2258,12573,-21142,15310,-65380,walking
-60,-279,1127,-6225,34057,-5798,-21507,21142,-64633,walking
10,-125,1631,13732,-21728,48400,-17861,30985,-60904,walking
-132,-12,698,-13610,20019,-14953,-25881,24423,-61644,walking
-92,-85,751,-13427,-5310,29235,-18954,23693,-63862,walking
-46,-124,750,-488,-4638,-54016,-16039,30255,-63512,walking
-168,-165,727,1464,-854,24841,-15674,26975,-63520,walking
-40,-256,920,-5432,1342,1220,-14216,29891,-60904,walking
-183,-152,1187,976,27770,-31127,-16403,28797,-62757,walking
15,-392,993,-23864,22888,32775,-10206,33900,-64244,walking
-153,-126,1393,2319,12939,-29357,-17497,24058,-64625,walking
-279,-6,1377,-28747,-671,-24719,-20777,33900,-60142,walking
187,-34,1059,23498,10070,-147705,10571,47387,-66485,walking
95,-300,771,2197,23620,-90332,23329,19319,-67979,walking
-10,-204,1098,18066,3356,-59570,16039,2551,-70984,walking
4,-246,1255,-488,-24047,13610,13122,-4738,-72079,walking
-149,-64,1103,8239,24597,-36010,6926,-6561,-68004,walking
76,-254,876,-14343,-1586,45837,8019,-3280,-72070,walking
63,-102,1067,-5981,7019,-21606,8383,-5467,-69091,walking
-39,-36,832,-5004,-3112,60424,16403,729,-69863,walking
-22,-48,822,-9826,-12756,-14587,17861,-2551,-72825,walking
-93,-147,847,-1770,-4272,15930,20048,4738,-69838,walking
-102,-187,845,-3906,5493,-11962,18590,-729,-72461,walking
-165,-117,1012,1708,20874,-39062,21506,-729,-70576,walking
-18,-430,964,-5126,-5187,7568,9113,-5832,-72470,walking
-10,-206,1205,9704,-610,-29357,17496,-364,-71340,walking
-68,-321,804,-18981,-17333,90026,32077,20777,-72817,walking
71,-141,1677,11779,12023,80078,40826,35358,-73217,walking
-23,-119,1185,6530,-67443,132751,3645,72174,-63870,walking
-136,-4,904,-14282,2807,34118,-34993,21870,-66850,walking
7,-290,1158,-6286,-22155,43518,-25881,23694,-67240,walking
-161,-50,878,-3356,25268,-23742,-19683,29161,-65356,walking
210,-364,865,-5126,-12573,37658,-17861,29526,-63870,walking
48,-33,923,-1708,34545,-45288,-18955,29526,-65372,walking
46,-184,1135,-4394,-26916,41381,-17132,28432,-61995,walking
-27,-46,769,-5249,-6835,-12634,-18225,29161,-59388,walking
-189,-159,761,3295,-12023,26123,-19319,25151,-60501,walking
-44,-214,822,-8300,-7446,7629,-19319,26974,-66477,walking
-95,-179,1035,-2258,30090,-53771,-16403,26609,-60501,walking
-76,-292,965,-22521,-671,5004,-12028,34993,-61614,walking
-44,-175,1237,15747,17822,-76049,-6561,37544,-61614,walking
-91,-120,1350,-18066,-3662,-10192,4738,39002,-59366,walking
-154,-49,759,12390,33996,-51574,7290,38273,-57133,walking
181,-269,1033,2746,610,23254,7654,39366,-61233,walking
245,-308,1137,-915,-18981,44982,1458,41919,-61621,walking
273,-169,1030,-15930,-68054,143737,-18590,30255,-60882,walking
-18,104,1172,3479,-16540,48217,-15674,6196,-70203,walking
127,-133,1069,-10986,1525,49438,-14944,1093,-68701,walking
45,-286,729,-18920,-12023,39367,-14580,-4374,-68327,walking
-120,-253,882,-14465,7629,75134,364,-5467,-69456,walking
-174,-188,806,-18249,11779,21240,6196,-1822,-67954,walking
-252,-119,974,488,3112,8850,12029,2551,-69846,walking
-251,-167,1140,-13305,3906,-14892,8748,0,-70203,walking
-188,-290,913,-25878,5004,-13732,12393,3280,-70567,walking
-199,-437,856,-7934,20690,31311,9841,3645,-72061,walking
-177,-377,984,8544,28747,-17639,13122,5832,-68344,walking
-174,-6,1170,1953,6103,16357,15309,4738,-73181,walking
-118,143,1133,-4577,7202,-27770,12393,0,-70585,walking
176,-269,932,15136,-23071,25024,18225,10935,-73181,walking
165,-379,871,6103,-9033,-33386,40095,12757,-72434,walking
55,-326,823,183,-8605,68054,24786,11664,-69066,walking
-39,-68,833,-39428,-53649,126831,45199,37909,-68336,walking
-37,-274,930,854,183,4150,31712,61601,-74675,walking
-34,-222,1035,-8422,-427,25878,18954,36450,-69439,walking
-10,-340,979,11779,13427,-12512,13851,37544,-67580,walking
-78,-130,955,3601,-6591,24902,10935,37179,-64967,walking
49,-288,867,-7507,8117,40100,729,38273,-59747,walking
211,35,881,-36437,-33081,146911,-22234,32076,-56746,walking
-62,-151,1141,12084,-32836,93505,-16038,-4009,-63481,walking
-88,-89,811,4943,11718,16418,-9477,-10206,-67580,walking
23,-192,846,-1586,1342,-18066,-12028,-8383,-73546,walking
-95,-220,835,-5187,5004,3356,-20047,-4374,-73919,walking
-58,-322,956,13305,4089,-13244,-26973,-10935,-82879,walking
7,-211,953,4028,-5798,5065,-28067,-22964,-70941,walking
-198,65,592,18554,33447,-80749,-4738,-11299,-66460,walking
-101,-234,1035,-1525,10437,-45104,-34992,8748,-63466,walking
-119,-303,978,-5737,6958,-9643,-23693,23693,-66087,walking
83,-221,1117,-6225,5065,22827,-14580,29160,-65324,walking
-62,-139,1063,1770,22338,-15014,-18954,25151,-65348,walking
0,-214,938,-16601,-854,37109,-18225,23693,-70567,walking
-53,-70,962,12023,12878,-13977,-22599,22964,-64967,walking
50,-133,952,-8117,-5981,14282,-20412,25150,-64951,walking
-56,-28,715,-11108,-3906,-32165,-18589,26608,-61972,walking
-236,-133,810,23864,-20385,18066,-17496,21870,-64951,walking
175,-486,672,-20080,-854,-25146,-14944,29524,-61965,walking
-218,30,989,20690,-11169,47912,-28796,15309,-54519,walking
225,-32,1167,-7873,-35034,150329,-26244,1093,-58239,walking
-188,-127,790,17150,-2990,79284,1457,-11663,-62323,walking
-1,-270,1065,-15624,18005,26794,10570,-10570,-61980,walking
-242,-60,1060,15686,40771,-16723,16402,-7290,-63100,walking
46,-289,1013,-41137,-9765,45104,19318,364,-66809,walking
-28,3,1215,26306,7080,-15014,20411,2186,-66801,walking
-86,-60,1187,-11779,-12573,34484,22234,5103,-70177,walking
-6,-56,895,-15930,16601,-48889,21505,728,-64935,walking
187,-93,929,9155,2014,17150,22963,-728,-66063,walking
-5,49,1102,-13549,3417,-17639,21141,-5103,-66452,walking
-287,-58,873,15686,-15869,27893,24421,7654,-72399,walking
49,-121,845,2746,-2868,-52001,36085,12757,-70915,walking
-107,-35,962,1708,17700,-81176,19318,14944,-54113,walking
49,-144,1133,-8483,7690,-73913,3280,12392,-68667,walking
32,-278,1040,11657,610,-16906,-11299,7654,-66801,walking
-75,-170,942,-9033,17211,6164,-18589,4738,-62704,walking
-200,-249,1022,915,25207,-29296,-17495,5102,-63808,walking
-62,-192,1198,-14526,4821,-11169,-23327,8747,-64570,walking
127,367,1614,31738,-17822,-166809,-21869,24785,-64927,walking
47,-192,1021,19592,25756,-81420,8383,34263,-61218,walking
-62,-278,1079,8483,21179,-47668,16766,24421,-59718,walking
43,-388,1047,-22705,6042,42114,11299,9477,-61591,walking
-84,-257,984,-31005,9460,-7080,-13850,8018,-50754,walking
134,-76,335,-14953,-1220,119750,-21504,40458,-50748,walking
89,-41,968,-14221,-1281,29479,-26243,27336,-59323,walking
-154,-121,597,-11779,2624,58288,-22963,22234,-67556,walking
32,-244,961,2807,-305,-13061,-20047,24421,-65682,walking
-186,-215,909,1159,4333,-671,-20411,18953,-62688,walking
14,-263,1140,-12390,-915,28747,-20411,25878,-60450,walking
-282,-49,1135,-2990,33508,-20629,-23327,17860,-65682,walking
-54,-138,858,-7141,7080,36987,-21504,20411,-66031,walking
38,-1,1059,9399,9460,-71594,-16766,22598,-62315,walking
-214,-126,674,-11291,854,33264,-17495,23691,-64554,walking
44,-168,669,-14099,2197,-56396,-12757,30981,-59330,walking
-135,-158,1049,-5859,10803,-54321,-8383,33533,-62696,walking
117,-268,863,-14709,4699,-17517,6196,38636,-67183,walking
-101,-163,1152,15197,51696,-63659,12392,34991,-67548,walking
137,-157,1335,9521,-26245,58898,15672,30981,-65293,walking
-10,-102,728,-42480,28442,20446,6925,39000,-66039,walking
65,45,1267,-22766,-62988,172363,-24055,30616,-58570,walking
-198,33,1011,-12878,-17944,48828,-15672,2915,-72746,walking
-146,-183,527,6225,4516,31555,-13121,364,-72000,walking
58,-269,811,-12512,244,33752,-14943,-8018,-71609,walking
-143,-134,1089,14282,-10925,47058,-1093,-16037,-72746,walking
80,-286,1085,-21423,-2563,51879,6196,-9476,-73874,walking
-192,-190,1080,1708,32348,-6774,18953,-1457,-73492,walking
-30,-195,1062,-3173,-13366,48950,18588,3280,-70507,walking
97,77,1144,19287,-1708,-32592,20046,728,-75721,walking
-127,-88,632,-11840,6164,38269,24056,3280,-74247,walking
51,-243,993,1647,-5554,-34240,18224,-2186,-68261,walking
-120,-201,910,9765,3173,-10131,25513,4009,-76094,walking
-25,-188,906,-10253,2441,9216,18953,2551,-73483,walking
-145,-205,1105,4150,16723,-28747,22962,8383,-77213,walking
-34,-262,1203,7995,-38818,15747,43374,15672,-74993,walking
-130,279,1054,10375,20935,-123840,12756,7289,-64531,walking
41,-148,1066,-5493,12329,-33081,364,13120,-64134,walking
-80,-90,852,6347,38330,-46813,-11663,7289,-66007,walking
202,-314,822,2441,7019,26794,-13850,5102,-69744,walking
59,-219,557,-22583,-38208,92041,-12756,-2551,-71228,walking
136,-207,849,-33508,-51330,157409,15308,2915,-70499,walking
-196,-67,877,5371,-8605,33874,22597,17494,-66388,walking
-180,-143,707,7141,-6286,26855,16037,4738,-57823,walking
87,-354,904,-183,5615,30517,-13850,21868,-47739,walking
-56,-255,986,2136,-22644,65551,-26971,34626,-57077,walking
-55,-181,919,-2441,8300,44677,-19317,29158,-66769,walking
-210,-401,1036,-26611,4089,-12939,-22233,26607,-66023,walking
0,-324,818,-3723,854,14709,-30251,30251,-54086,walking
-329,264,1610,16967,4943,-21240,-27336,29887,-58189,walking
103,-380,463,-56091,2014,14709,-18953,35354,-59689,walking
-40,167,1218,42907,-18920,-52734,-20410,36812,-59301,walking
-163,-232,728,-3662,13000,22583,-18953,32438,-69380,walking
1,-216,809,4516,-3479,-32287,-18588,33532,-58570,walking
-174,-235,914,5126,-9399,-18127,-16765,37176,-65261,walking
-57,-281,972,8605,-5615,-21728,-5831,40456,-64523,walking
-183,-166,1081,-9399,57556,-73974,-728,44465,-62650,walking
69,-237,1238,6469,-1403,-8483,15672,40092,-60793,walking
47,-149,1037,32470,6774,-22094,13121,36083,-66769,walking
94,-189,900,-21118,13549,58837,8747,37905,-66388,walking
181,-80,1401,17333,-66040,89416,-3644,48110,-66007,walking
32,-7,1123,15380,-25329,139465,-22233,12756,-67515,walking
-181,-148,854,8178,-2807,29602,-14943,5102,-68600,walking
-59,-411,804,-4150,-14343,-244,-15672,2551,-70855,walking
4,-18,979,-3112,4699,50842,-17494,-4738,-63754,walking
-157,-144,1027,11779,-14343,43151,-3644,-12027,-65991,walking
-85,-230,1070,-5615,-7507,50048,4738,-5467,-69355,walking
-55,-145,889,20263,5981,-17272,14943,-6560,-67125,walking
83,-67,1499,7812,-28442,56579,13120,-4738,-70092,walking
83,25,954,4150,-2929,-12573,18952,-5467,-66007,walking
-60,-28,926,12817,5554,29418,24055,2551,-65269,walking
-4,-100,705,-8850,6591,-20324,18952,-4373,-68236,walking
-88,-125,914,6958,-4577,-3906,22596,-1093,-69719,walking
-17,-180,997,-9338,-5615,16174,20045,-3280,-72338,walking
-123,-80,1123,7141,19348,-21240,22961,3644,-66372,walking
110,-155,1145,8300,-30395,29357,24419,12392,-71982,walking
-98,5,789,-10253,13671,-43395,32437,2551,-71210,walking
124,-177,879,-2929,-8117,34423,11298,-3644,-61532,walking
11,-10,901,6164,4882,-21850,17129,-9840,-61502,walking
-95,-184,807,-1342,10559,16662,-11298,-8747,-64872,walking
-33,-75,963,-4211,4943,-43701,13485,-10204,-84622,walking
52,233,892,-2197,52673,-172058,-15307,-14578,-71583,walking
-181,-145,881,-12451,43579,-99060,-28428,29157,-78667,walking
-31,45,758,-1464,16540,-48400,-4009,22232,-60764,walking
-10,-65,860,20507,-4638,33996,-20409,28063,-62985,walking
0,-124,839,-15258,-1892,-16418,-20045,8382,-58140,walking
-181,-88,747,-4211,-2990,-5126,-44829,11298,-57422,walking
-23,-130,986,732,-13366,26184,-25148,24783,-64134,walking
-240,-169,1010,9094,35339,-6774,-24054,19681,-64126,walking
70,-213,1476,2929,-33264,55175,-28792,18952,-58161,walking
107,20,1078,18005,-16296,-13793,-29156,12391,-59996,walking
-234,175,955,17272,5493,-20263,-24783,14578,-63365,walking
88,-333,1020,41992,-671,-41992,-16036,39361,-70066,walking
157,-246,1151,102722,9277,55175,-10204,73256,-54420,walking
-83,27,955,-2563,854,-12512,-14942,28063,-60749,walking
-128,-69,1105,-12634,32287,-61950,-10569,33530,-59645,walking
-266,-149,902,-23498,16662,1647,-5102,34989,-54067,walking
98,92,1000,22155,-8361,-100463,10205,34624,-58161,walking
-81,-144,794,-10681,8666,2502,12756,27334,-64491,walking
-125,-195,683,-19592,3479,-35888,17858,30614,-62247,walking
-49,15,1007,2990,27038,-102966,23690,24054,-63373,walking
113,-269,1070,305,-9643,-31372,17858,-1093,-67838,walking
250,-42,926,-3723,43395,-156372,-1093,-3280,-73412,walking
-57,-197,1012,-3051,7568,-21606,-15307,-1093,-67466,walking
4,-280,989,793,30456,-72631,-21867,4737,-61502,walking
208,132,1067,-21728,-38818,166320,-18587,-2915,-64126,walking
-237,-42,922,-1647,-13671,61767,5102,-8382,-71184,walking
-233,-5,936,-24353,7385,39306,9476,364,-70456,walking
-204,-96,870,-21606,-9582,41503,10204,17129,-68211,walking
82,-221,975,-23986,-15197,117736,5831,28427,-63350,walking
-245,-6,984,4455,-25268,73303,-8382,30614,-60376,walking
-111,5,774,15075,21423,-100219,-6560,34988,-60011,walking
41,-186,1044,13488,10009,-61767,10933,25876,-64856,walking
57,-148,821,-18249,-4150,62438,9111,22596,-69321,walking
-161,-100,823,-20935,-15014,95764,-10569,34987,-62224,walking
63,-159,1101,10192,-4943,56213,-22231,29520,-62232,walking
54,62,1059,8911,-12207,88745,-33893,11297,-57753,walking
55,234,1188,11413,244,35949,-17858,364,-60741,walking
210,-127,296,-93505,201599,42907,-11662,-8017,-73039,walking
-217,-191,1103,-35095,47302,20385,-43005,-6560,-65213,walking
-111,-241,1054,-32348,-16296,75439,-32436,-9111,-62977,walking
-252,-257,1250,7080,-6896,36132,-11298,-13484,-70066,walking
-48,-286,1072,-14343,-17944,56152,-2551,-9475,-67814,walking
-255,26,987,22277,-15136,3173,-728,-7653,-72649,walking
-114,-135,877,-48522,27770,10192,5466,-6195,-68550,walking
-115,123,1123,10864,-65002,-1831,5831,-4008,-71540,walking
-53,-360,551,-15258,-9216,15502,5831,2186,-70803,walking
-232,-115,954,13305,17822,-15075,2551,4008,-72285,walking
-236,-264,886,21667,5554,-15441,5466,3280,-73048,walking
-235,-250,1011,-23681,61,22521,1822,0,-71895,walking
-332,-239,906,7995,42053,-28320,6195,11662,-81610,walking
-126,-190,900,-10437,732,-366,24417,12026,-71522,walking
-166,-46,960,29174,15380,-121154,-3280,7289,-64833,walking
-181,-220,1079,27221,-23864,-45166,-10933,18951,-63335,walking
-206,-214,948,11169,8239,-40466,-25511,13120,-53288,walking
-312,-196,851,-3662,-2746,9094,-27697,11662,-62217,walking
-179,-155,799,3112,12329,-55969,-30249,16764,-63707,walking
10,217,1026,18554,50720,-186706,-17857,37173,-56249,walking
-142,-278,1057,-549,23437,-65490,6560,29520,-65570,walking
-138,-299,1033,23315,2624,-29724,10568,17857,-64452,walking
-243,-35,1772,22644,-58593,66650,-4737,10933,-61859,walking
-51,-96,1169,-183,-11169,36193,-10204,29520,-62589,walking
-127,-12,876,-45593,-8850,99304,-41546,43369,-57374,walking
-227,-192,837,-3967,3356,23681,-33892,29155,-61457,walking
-254,-240,733,9887,-2197,17578,-30977,27697,-59595,walking
-165,-271,813,-13366,-5981,7873,-26604,36080,-59616,walking
-375,-259,1052,10498,22277,-27404,-30613,29519,-57739,walking
-50,-158,993,122,-40344,81726,-31706,28426,-60354,walking
-125,-129,812,-11718,29479,-57067,-34257,24782,-55877,walking
-25,-102,788,-20751,12145,68969,-32800,23689,-59236,walking
-103,-144,737,-13427,-16540,427,-39359,17128,-53269,walking
-121,-112,499,-32348,-12268,89721,-34986,4373,-59967,walking
-401,-117,830,-3295,14038,-31372,-34622,1457,-59974,walking
-412,44,826,19653,30273,-111816,-35715,14577,-59236,walking
-238,76,955,47058,35339,-121643,-20044,37537,-52518,walking
-290,-278,774,9216,-2075,-18066,-14213,35715,-62574,walking
-177,-135,1007,-18188,122,-10803,-11297,32799,-65562,walking
-311,-191,833,-4516,-15197,36926,-11297,35350,-61084,walking
-292,-225,788,-17395,-4821,15808,-13848,36444,-58864,walking
-301,-285,937,7141,6042,-31860,-13848,38266,-61457,walking
-319,-253,963,-7507,-61,-32287,-5102,38266,-59236,walking
-302,-72,1238,22094,1708,-24902,-364,31707,-63715,walking
-226,-216,994,2624,-12145,36865,364,32070,-63692,walking
-262,-69,1136,1953,-7629,-12573,728,35715,-71150,walking
-196,-223,927,-7690,-1708,19836,-2915,38265,-69262,walking
59,-128,943,-44189,-14343,103210,-12755,39724,-58857,walking
-198,-32,978,-15197,-42053,145751,-40453,21866,-56994,walking
-309,-156,955,-7080,-2258,42785,-37537,5466,-59215,walking
-109,-259,962,16723,4028,-9582,-35714,4373,-63312,walking
-181,-252,757,-1342,9155,9399,-39359,10568,-60705,walking
-218,-266,1006,1525,-5493,37353,-32434,-1457,-67028,walking
-93,-217,931,-34057,-7385,75195,-26603,-4737,-68153,walking
-347,-247,1021,-6286,2746,28381,-11297,-6195,-74484,walking
-214,-286,991,-7751,-610,28015,-11297,-3644,-67781,walking
-446,-77,1274,12756,-4272,-8422,-9475,-2915,-75602,walking
-164,-179,924,-1586,-9216,15075,-5102,-1093,-73766,walking
-311,-95,784,3112,-3173,-15686,-6924,-4373,-74121,walking
-332,-119,646,671,1770,6713,-6195,-3280,-74884,walking
-314,-201,916,3356,-15380,-8361,-7653,-3644,-75974,walking
-379,-192,1049,-122,19958,-13366,-6924,-1457,-76337,walking
-237,-290,991,-671,-15502,23132,364,6195,-77836,walking
-562,-85,1417,8239,3112,-11718,11297,4737,-80433,walking
-117,-208,950,-8911,-2075,10009,-8746,-728,-70388,walking
-256,-74,855,-2929,-5249,-11596,-8381,-6924,-70734,walking
-263,-162,801,3173,3417,7934,-28061,-3644,-68145,walking
-197,-175,771,-5004,6896,-6835,-5466,-7653,-87881,walking
-404,-31,862,9155,21789,-64208,-17128,-18221,-62567,walking
-249,49,1009,50048,34118,-133056,-44461,8017,-61449,walking
-170,-215,836,19531,13732,-66223,-36443,42273,-74839,walking
-271,-180,877,6591,7080,-22277,-14577,25510,-69643,walking
-312,-189,835,7629,2075,-2685,-35715,29884,-53263,walking
-361,-201,992,-11108,-1831,11718,-27332,25510,-63312,walking
-432,-105,1188,19104,-14099,-2929,-54300,19679,-45057,walking
-256,-187,845,-10314,11718,11779,-38994,30977,-59587,walking
-247,-46,886,-12756,-1525,-11413,-29153,34255,-59179,walking
-213,-173,833,-5920,-244,62133,-35714,27697,-61449,walking
-277,-126,867,-14953,549,11413,-33892,21501,-58091,walking
-286,-196,1003,-1220,3051,-793,-34985,12755,-61814,walking
-209,-175,1189,-17028,-4516,55419,-39723,12755,-59208,walking
-225,-158,1163,9155,4577,12756,-37901,2915,-64049,walking
-196,-207,937,-21301,-13854,29479,-34256,2915,-65911,walking
-369,-33,928,3112,40283,-34912,-36079,2915,-62939,walking
-268,-111,1071,13244,3723,-43334,-36443,10932,-59573,walking
-271,61,1062,41442,10498,-117065,-29518,29883,-56215,walking
-170,-178,955,17578,13305,-82519,-14212,35350,-62931,walking
-230,-17,1095,26000,-29785,-6286,-4008,30976,-64778,walking
-200,-24,748,7324,-31982,20996,-2551,30612,-61814,walking
20,-132,892,-4333,-34729,26000,10568,31705,-67011,walking
-78,-199,925,2258,-12695,27099,4008,32798,-73349,walking
106,-186,844,-7751,-8605,10803,-364,32069,-71107,walking
-164,-114,888,-7934,-366,-28625,-2186,35713,-68864,walking
63,-47,1041,-8239,9887,-59997,14212,34256,-67756,walking
46,-123,1131,-9155,27832,-44067,22594,22958,-67376,walking
32,-144,1131,-13854,8789,35034,19679,18950,-69245,walking
-49,-199,1058,-12207,18310,35400,10932,26967,-74448,walking
246,38,1056,-17761,-5432,147766,-4737,37900,-68128,walking
-12,-78,950,6347,-2929,113037,-24052,16034,-69609,walking
-211,-31,1016,1159,4455,40954,-21136,-2550,-77026,walking
-24,-179,996,13610,8972,-9460,-16034,-2186,-72959,walking
2,157,1087,-3540,11596,87829,-21136,-4737,-62521,walking
38,-279,963,-7019,29907,14404,-10203,-8017,-69601,walking
-106,-218,1124,-15502,33142,14587,-16398,-18949,-84488,walking
99,-361,775,-20812,-85510,8789,364,-25874,-116168,walking
91,-363,844,-6896,-12939,15563,5101,9839,-92677,walking
-169,-108,1425,19775,16113,-19592,-5101,95843,-83010,walking
57,-334,743,-27099,17211,-30700,47375,-17856,-37968,walking
103,-329,560,-20935,-14770,-50964,4008,-11661,-59558,walking
234,-177,1096,3417,3540,-549,2915,-10203,-64018,walking
124,-182,929,10375,8666,-19042,3644,-8746,-55464,walking
335,-105,811,427,19836,-854,10568,-12754,-58442,walking
