a_x,a_y,a_z,g_x,g_y,g_z,m_x,m_y,m_z,class_name
-17,-271,887,2136,-24719,92102,-15321,40491,-68897,walking
-60,62,1433,-2197,-34790,47119,-28087,24074,-61345,walking
-31,-302,900,7568,-14526,70068,18968,25534,-69625,walking
-6,-177,1105,-7690,-16113,71960,14955,31005,-68864,walking
-71,-239,1042,-3417,7446,11352,729,33922,-66589,walking
-51,-143,1084,-8422,-17211,58349,-1823,37206,-66229,walking
-208,-165,1143,-2990,17517,-25512,-5471,33557,-68470,walking
-157,-91,1405,8361,-21667,-25146,-729,39395,-62098,walking
-63,89,1078,17578,36254,-159423,18603,31006,-66630,walking
103,-247,995,6286,26916,-71289,21520,7295,-67342,walking
-102,-104,1327,17395,10009,-38330,8389,-4741,-73003,walking
21,-186,1268,16357,-28747,38574,8024,-4377,-72994,walking
-115,-54,1171,-8544,61,-21972,9483,364,-72233,walking
185,-243,995,-10864,2929,36010,17143,2553,-74866,walking
-93,-117,760,-8056,-6774,-13488,15320,-2553,-73003,walking
51,-118,877,1037,-2380,25756,19696,364,-72985,walking
-11,-91,788,4760,-7507,-18249,16414,-3282,-73370,walking
-76,-138,856,9521,-4455,4211,22614,0,-69582,walking
-45,-202,853,-10375,-549,-16113,16778,-4741,-71471,walking
-144,-194,921,-3112,1159,488,21155,3282,-74114,walking
-25,-183,805,-13183,1281,-20629,25168,6930,-76004,walking
-124,-193,817,-5187,1953,-17333,43042,12401,-75252,walking
-17,-127,899,2624,13305,-64392,12766,729,-68847,walking
-51,-201,948,-15930,10803,-62438,8024,18967,-73370,walking
27,-200,844,4821,3845,-35400,-9118,15684,-60931,walking
-64,-83,722,3295,-2990,25695,-15319,8753,-64316,walking
13,-85,820,5737,8178,-43579,-16413,9118,-68838,walking
-63,-148,765,-4638,4577,10498,-19331,10942,-68445,walking
-62,-75,865,21423,13305,-47302,-23344,17143,-70343,walking
-99,-111,941,-17578,2319,-39001,-19696,21520,-71087,walking
18,90,909,-7995,24047,-133605,1094,42676,-61699,walking
75,-179,744,6286,19470,-93505,20061,30639,-68470,walking
87,-347,883,2319,11901,-24414,22250,13131,-69599,walking
35,-274,1057,-3540,-5676,22155,22250,14225,-71856,walking
-54,-250,1034,-10498,-13793,41198,17143,15684,-66189,walking
-57,-298,968,7629,21423,-9704,-1458,5106,-57922,walking
44,-158,1297,20080,-30578,38940,5106,29179,-64316,walking
-112,-163,1086,6652,7629,-10620,25897,44499,-64692,walking
37,-179,1130,671,8178,-366,35015,44133,-74829,walking
24,-52,1028,-8178,-12329,12695,22978,29179,-75591,walking
-27,-99,958,1586,16540,52551,11306,39391,-70317,walking
24,-131,926,-26855,2746,15136,5470,37202,-68796,walking
-25,-160,1090,-16662,-5920,21240,-8389,36110,-62060,walking
46,18,931,-1037,13916,-71350,2917,43038,-61285,walking
-40,-273,826,13305,12512,-68786,17142,37203,-65421,walking
131,-177,1057,-15502,7812,-33935,27355,18601,-65045,walking
-43,-36,1143,-25634,15991,-9155,30638,28449,-64301,walking
-27,75,1005,-3479,27038,-128356,38296,13130,-73683,walking
190,-327,908,15197,20568,-84777,-9847,-12401,-64669,walking
-30,-233,728,2868,5004,-13854,-22613,1823,-68796,walking
-50,-175,774,-6286,-305,28747,-17507,-729,-75187,walking
-35,-173,905,-1647,-1464,18554,-23706,0,-77424,walking
0,-224,973,-1403,7324,-14343,-32095,-26260,-77048,walking
-99,-189,1028,-5310,-4516,12939,-14224,-5106,-71419,walking
-78,-299,826,-5249,15014,-25024,8023,13130,-61638,walking
-63,-207,1096,-2807,-5004,32958,-11306,18236,-60894,walking
-117,-184,992,-5798,14099,-19897,-12400,-2188,-61638,walking
12,-220,1107,12695,-6408,20019,-15318,1823,-66540,walking
112,-311,1027,6591,-1770,68420,-8023,-4376,-65756,walking
13,-66,1058,5859,-45043,133605,17871,2553,-70274,walking
-39,-129,1131,12145,-16662,45043,22977,16776,-67259,walking
18,-257,1014,-2502,-13610,49987,19694,16412,-60503,walking
-13,-113,1106,13366,2380,-43945,7294,3282,-55242,walking
-129,-20,1164,-10986,6408,-12390,11670,22612,-69147,walking
158,1,1198,-61,-1892,-87463,25165,10576,-68771,walking
-69,-149,778,-2502,-1098,-16906,18600,-6565,-60886,walking
78,-262,782,-14892,10314,1342,-5106,1458,-74041,walking
59,-168,779,-7690,23681,-65917,19329,2917,-81528,walking
83,-51,1039,11535,34484,-126220,-21518,-3282,-81162,walking
-121,-76,1033,-3479,4516,-43151,-15318,36107,-83051,walking
-44,-104,1051,13916,13977,-91674,-10941,11670,-58227,walking
241,-187,1002,3417,61,17272,-8388,34647,-65005,walking
-96,-143,746,-12451,2075,-24230,-28446,10211,-57093,walking
-96,-192,819,5004,-3845,16967,-32459,17870,-62750,walking
-33,-183,837,-9765,-1098,-8361,-18964,29541,-60857,walking
-93,-198,857,9643,-5249,3540,-16776,26988,-59361,walking
-26,-177,912,-8605,-854,14831,-19694,28812,-63494,walking
-112,-223,1041,1220,10681,-4455,-21882,22976,-65732,walking
-177,-189,971,-16174,-5065,20568,-19329,22247,-63494,walking
-72,-236,947,18005,22827,-34545,-18235,25894,-64613,walking
186,-278,947,2929,-793,24475,-17870,28811,-63103,walking
-8,-45,889,-13000,-244,-14587,-13858,28082,-61232,walking
-111,-170,839,10314,-915,-6652,-14223,29540,-66483,walking
151,-276,908,-11840,-366,47119,-15682,28447,-60105,walking
154,-162,990,-8544,-34362,123474,-20058,3647,-63103,walking
